Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.cds.json	10774	-	0	0	0	0	0	0	15	77	0	0	0	0	0	0	0	1	0	0	92	157	0	0	0	3	0	1
fsh-generated/resources/Bundle-cds-bundle-transaction-creation-example.json	7272	19	20	0	0	0	0	0	1	767	0	0	0	0	0	0	0	0	0	0	32	47	0	0	1	0	0	0
fsh-generated/resources/CapabilityStatement-CDSConsommateur.json	11588	13	0	0	0	0	1	0	2	67	0	0	0	0	0	0	0	0	0	0	52	94	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-CDSCreateurRestful.json	3089	7	0	0	1	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	32	43	0	1	0	1	0	0
fsh-generated/resources/CapabilityStatement-CDSCreateurTransaction.json	1558	6	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	16	28	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-CDSGestionnaire.json	13505	8	0	0	0	0	0	0	3	33	0	0	0	0	0	0	0	0	0	0	55	103	0	0	0	2	0	1
fsh-generated/resources/CareTeam-cds-careteam-example.json	1020	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	15	37	0	0	0	0	0	0
fsh-generated/resources/Organization-cds-organization-example.json	876	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	21	0	0	0	0	0	0
fsh-generated/resources/Patient-cds-patient-example.json	1756	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	23	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-cds-relatedperson-example.json	1305	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	26	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-cds-careteam-end.json	537	8	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	14	22	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-cds-careteam-managing-organization.json	506	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	14	21	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-cds-careteam-participant-end.json	596	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	20	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-cds-careteam-participant-start.json	608	7	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-cds-careteam-start.json	553	6	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	19	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-cds-patient-birthplace.json	503	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-cds-bundle-response-recherche.json	6929	8	0	418	0	0	0	0	0	117	0	0	0	0	0	0	0	3	0	0	511	2292	0	0	0	18	0	1
fsh-generated/resources/StructureDefinition-cds-bundle-transaction-creation.json	8969	9	0	217	0	0	0	1	0	75	0	0	1	0	0	0	0	2	0	0	482	1365	0	0	0	18	1	1
fsh-generated/resources/StructureDefinition-cds-bundle-transaction-maj.json	8929	8	0	245	0	0	0	0	0	65	0	0	0	0	0	0	0	2	0	0	506	914	0	0	0	19	0	1
fsh-generated/resources/StructureDefinition-cds-fr-related-person.json	2050	7	0	58	0	0	0	0	0	28	0	0	1	0	0	0	0	1	0	0	211	480	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-cds-ihe-careteam.json	6386	7	0	42	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	227	402	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-cds-organization.json	2711	9	0	77	1	0	0	0	0	48	0	0	0	0	0	0	0	2	0	0	397	875	0	0	0	16	0	2
