Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.cds.json	8112	-	0	0	0	0	0	0	4	79	0	0	0	0	0	0	0	0	0	0	139	137	0	0	0	4	0	1
fsh-generated/resources/SearchParameter-CDS-CareTeam-participant-start.json	759	13	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	14	19	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-CDS-CareTeam-Participant-AsRelatedPerson.json	941	12	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	9	21	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-CDS-CareTeam-end.json	670	11	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	10	19	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-CDS-CareTeam-Participant-AsOrganization.json	971	11	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	8	20	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-cds-bundle-transaction-creation.json	14575	51	0	0	0	0	0	1297	0	931	0	0	1	0	0	0	0	3	0	0	1740	7078	0	0	0	43	1	5
fsh-generated/resources/StructureDefinition-cds-bundle-response-recherche.json	9104	41	0	0	0	0	0	1052	1	806	0	0	0	0	0	0	0	3	0	0	1625	3957	0	0	0	42	0	3
fsh-generated/resources/SearchParameter-CDS-CareTeam-Participant-AsPractitionerRole.json	1014	11	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-cds-ihe-careteam.json	5000	19	0	0	0	0	0	176	0	146	0	0	0	0	0	0	0	1	0	0	300	1172	0	0	0	8	0	0
fsh-generated/resources/SearchParameter-CDS-CareTeam-Subject-AsPatient.json	987	12	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-CDS-CareTeam-start.json	686	11	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-cds-bundle-transaction-maj.json	15286	46	0	0	0	0	0	1094	0	745	0	0	1	0	0	0	0	4	0	0	1534	4406	0	0	0	43	1	4
fsh-generated/resources/CapabilityStatement-CreateurTransaction.json	1617	11	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	31	0	0	0	2	0	0
fsh-generated/resources/CapabilityStatement-Consommateur.json	12405	25	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	33	15	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-cds-organization-orga-int.json	2478	16	0	0	0	0	0	109	0	94	0	0	0	0	0	0	0	1	0	0	174	606	0	0	0	6	0	0
fsh-generated/resources/CapabilityStatement-Gestionnaire.json	13759	27	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	37	30	0	1	0	4	0	0
fsh-generated/resources/SearchParameter-CDS-CareTeam-participant-end.json	747	11	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	13	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-cds-fr-related-person.json	1915	16	0	0	0	0	0	196	0	174	0	0	0	0	0	0	0	1	0	0	317	1213	0	0	0	9	0	1
fsh-generated/resources/CapabilityStatement-CreateurRestful.json	3436	14	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	17	8	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-CDS-Patient-birthplace.json	653	11	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-CDS-PractitionerRole-nameex.json	809	11	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
