Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.cds.json	9025	-	0	0	0	0	0	0	4	84	0	0	0	0	0	0	0	0	0	0	135	162	0	0	0	3	0	1
fsh-generated/resources/CapabilityStatement-CDSConsommateur.json	12327	28	0	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	0	73	43	0	0	0	2	0	0
fsh-generated/resources/CapabilityStatement-CDSCreateurRestful.json	3382	16	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	33	12	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-CDSCreateurTransaction.json	1554	12	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	21	9	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-CDSGestionnaire.json	13728	29	0	0	0	0	0	0	1	35	0	0	0	0	0	0	0	0	0	0	62	36	0	0	0	9	0	0
fsh-generated/resources/SearchParameter-cds-careteam-end.json	519	11	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	15	24	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-cds-careteam-participant-end.json	595	11	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-cds-careteam-participant-start.json	607	11	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-cds-careteam-start.json	535	11	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	17	8	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-cds-patient-birthplace.json	502	10	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	16	7	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-cds-practitionerrole-nameex.json	659	11	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	15	7	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-cds-bundle-response-recherche.json	9104	32	0	0	0	0	0	1324	0	727	0	0	1	0	0	0	0	3	0	0	1591	5435	0	0	0	56	1	6
fsh-generated/resources/StructureDefinition-cds-bundle-transaction-creation.json	11188	29	0	0	0	0	0	1112	0	772	0	0	0	0	0	0	0	4	0	0	1658	3256	0	0	0	43	0	7
fsh-generated/resources/StructureDefinition-cds-bundle-transaction-maj.json	11143	29	1	0	0	0	0	1043	0	756	0	0	1	0	0	0	0	5	0	0	1532	3069	0	1	0	42	0	4
fsh-generated/resources/StructureDefinition-cds-fr-related-person.json	2023	7	0	0	0	0	0	201	0	250	0	0	0	0	0	0	0	1	0	0	378	640	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-cds-ihe-careteam.json	5098	10	0	0	0	0	0	149	0	132	0	0	0	0	0	0	0	0	0	0	293	629	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-cds-organization-orga-int.json	2478	7	0	0	0	0	0	99	0	86	0	0	0	0	0	0	0	1	0	0	203	306	0	0	0	6	0	1
