Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.cds.json	9222	-	0	0	0	0	0	0	7	46	0	0	0	0	0	0	0	1	0	0	154	132	0	0	0	3	0	0
fsh-generated/resources/CapabilityStatement-CDSConsommateur.json	11578	26	1	0	0	0	0	0	1	94	0	0	0	0	0	0	0	0	0	0	141	56	0	0	0	3	0	1
fsh-generated/resources/CapabilityStatement-CDSCreateurRestful.json	3084	23	0	0	0	0	0	0	1	42	0	0	0	0	0	0	0	0	0	0	57	25	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-CDSCreateurTransaction.json	1554	22	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	32	18	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-CDSGestionnaire.json	13492	23	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	102	61	0	0	0	2	0	0
fsh-generated/resources/SearchParameter-cds-careteam-end.json	536	22	1	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	24	18	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-cds-careteam-managing-organization.json	505	28	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	17	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-cds-careteam-participant-end.json	595	22	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-cds-careteam-participant-start.json	607	23	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-cds-careteam-start.json	552	22	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	16	0	0	1	1	0	0
fsh-generated/resources/SearchParameter-cds-patient-birthplace.json	502	23	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-cds-bundle-response-recherche.json	6924	29	0	0	0	0	0	374	0	95	0	0	1	0	0	0	0	3	0	0	979	3141	0	0	0	26	0	2
fsh-generated/resources/StructureDefinition-cds-bundle-transaction-creation.json	8958	26	1	0	0	0	0	186	0	72	0	0	0	0	0	0	0	4	0	0	949	1840	0	0	0	26	0	2
fsh-generated/resources/StructureDefinition-cds-bundle-transaction-maj.json	8918	24	0	0	0	0	0	147	0	73	0	0	1	0	0	0	0	3	0	0	991	1636	0	1	0	26	0	1
fsh-generated/resources/StructureDefinition-cds-fr-related-person.json	2048	33	0	0	0	0	0	31	0	31	0	0	0	0	0	0	0	1	0	0	301	562	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-cds-ihe-careteam.json	6117	25	0	0	0	0	0	31	1	26	0	0	0	0	0	0	0	1	0	0	285	365	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-cds-organization.json	2371	4	0	0	0	0	0	83	0	93	0	0	0	0	0	0	0	3	0	0	797	1061	0	0	0	22	1	1
